question,answer,option1,option2,option3
"What is the primary purpose of the OSI model?","To standardize network communication","To standardize network communication","To encrypt data","To speed up internet connections","To design hardware"
"Which layer of the OSI model is responsible for routing?","Network Layer","Network Layer","Data Link Layer","Transport Layer","Application Layer"
"What does HTTP stand for?","HyperText Transfer Protocol","HyperText Transfer Protocol","High Transfer Text Protocol","HyperText Transmission Process","Hyperlink Text Transfer Protocol"
"Which of the following is NOT a valid IP address class?","Class E (for general use)","Class E (for general use)","Class A","Class B","Class C"
"What is the default subnet mask for a Class C network?","255.255.255.0","255.255.255.0","255.255.0.0","255.0.0.0","255.255.255.255"
"Which protocol is used for sending email?","SMTP","SMTP","POP3","IMAP","HTTP"
"What port does HTTPS typically use?","443","443","80","22","3389"
"What does DNS stand for?","Domain Name System","Domain Name System","Dynamic Network Service","Domain Network Server","Digital Name System"
"Which type of cable is most resistant to electromagnetic interference?","Fiber optic","Fiber optic","Coaxial","Twisted pair","Ethernet"
"What is the maximum length of a standard Ethernet cable (Cat5e/Cat6)?","100 meters","100 meters","50 meters","200 meters","500 meters"
"Which command is used to test network connectivity in Windows?","ping","ping","tracert","ipconfig","netstat"
"What does VPN stand for?","Virtual Private Network","Virtual Private Network","Very Private Network","Virtual Protected Network","Verified Private Network"
"Which layer of the OSI model handles encryption?","Presentation Layer","Presentation Layer","Application Layer","Session Layer","Transport Layer"
"What is the purpose of a firewall?","To filter network traffic","To filter network traffic","To speed up internet","To store files","To connect to Wi-Fi"
"Which wireless standard offers the fastest theoretical speed?","802.11ax (Wi-Fi 6)","802.11ax (Wi-Fi 6)","802.11ac","802.11n","802.11g"
